course_name,course_url,course_level,is_winter,course_code,course_goals,course_description,credit_score,prerequisit_credits,course_professors,mandatory
Спорт и здравје,https://www.finki.ukim.mk/subject/F23L1W004,1,True,F23L1W004,"Целта на предметот спорт и спортски активности е усвојување на нови и усовршување на старите моторни знаења и вештини, подобрување на моторните и фукционалните спсособности се со цел унапредување на здравјето, задоволувањето на потребате за движење, оспообување на студентот за рационално, содржајно користење на слободното време како и подобрување на квалитетот на животот во младоста, во зрелата возраст и староста. Унапредување на социјалната комуникација. Очекувани резултати: Оспособување на студентот за самостојно спортување и физичко вежбање, запознавање со законитостите на физичката култура и правилната исхрана. Стекнување знаења за структурата, правилата, принципите на тренажниот процес и специфичностите на избраната кинезиолошка активност.","кошарка, мал фудбал, одбојка, ракомет, танцови фитнес програми (аеробик, степ-аеробик, пилатес. За студентите со посебни потреби: физички активности во зависност од дијагнозата на студентот. Факултативно учество во спортски натпревари.",2.0,,,Yes
Вовед во компјутерските науки,https://www.finki.ukim.mk/subject/F23L1W007,1,True,F23L1W007,"Солидно познавање на основите на информатичко-комуникациските технологии, нивното создавање, моментална состојба и иднината; начинот на кој функционираат сметачите, основите на Веб, обработката на сликите, видеото и анимациите; клучните области на информациско-комуникациските технологии и нивното влијание: спососност за манипулација со текст, табели, графикони, слики, аудио и видео.","(1) Аналогно наспроти дигитално
(2) Влезни уреди
(3) Излезни уреди
(4) Хардвер
(5) Податоци и меморија. Битови и бајти.
(6) Код
(7) Табели и табеларни пресметки
(8) Интернет
(9) Интеракција човек компјутер
(10) Компјутерски мрежи
(11) Безбедност и приватност
(12) Вовед во вештачка интелигенција",6.0,,проф. д-р Билјана Ристеска Стојкоска ; ворн. проф. д-р Бојана Котеска ; доц. д-р Емил Станков ; ворн. проф. д-р Иван Китановски ; проф. д-р Катерина Здравкова ; проф. д-р Коста Митрески ; ворн. проф. д-р Панче Рибарски,Yes
Професионални вештини,https://www.finki.ukim.mk/subject/F23L1W018,1,True,F23L1W018,"Целта на курсот е да студентите да се стекнат со вештини потребни за академско и техничко пишување и презентирање, со водење сметка за етиката и критичкото мислење. По завршување на курсот се очекува студентот да може да изработи квалитетни академски текстови (резиме, есеј, CV, формално писмо) на англиски и македонски јазик; да разликува помеѓу различни технички текстови (спецификација, елаборат, извештај, техничка документација) и да идентификува нивни делови; да одржи ефективна презентација на зададена тема и да одговори на прашања поврзани со презентацијата;","Предавања:
	1. Вовед во предметот
	2. Комуникациски вештини
	3. Пишување биографија
	4. Пишување електронско и придружно писмо
	5. Пишување препорака и деловно писмо
	6. Подготовка и вежбање на интервју
	7. Организирање на настани
	8. Деловни состаноци, преговарање и тимска работа
	9. Пишување извештаи и есеи
	10. Академско пишување
	11. Подготовка и вежбање на презентации",4.0,,проф. д-р Андреја Наумоски ; проф. д-р Билјана Ристеска Стојкоска ; проф. д-р Кире Триводалиев ; проф. д-р Ласко Баснарков ; ворн. проф. д-р Магдалена Костоска Ѓорчевска ; ворн. проф. д-р Панче Рибарски,Yes
Структурно програмирање,https://www.finki.ukim.mk/subject/F23L1W020,1,True,F23L1W020,"Да се воведат студентите во парадигмата на структурното програмирање, да го разберат концептот на алгоритми и да се оспособат да развиваат алгоритми, да кодират, тестираат и компајлираат програми. Студентите ќе можат да пишуваат програми за решавање проблеми преку користење на податочни типови, контролни структури, функции, низи во програмскиот јазик C++.","1. Вовед. Алгоритми и програми. Програмирање и програмски јазици. Структурно програмирање. Процес на креирање и извршување на програма
2. Алгоритамски контролни структури. Редоследна структура. Елементи од С++. Величини и податоци. Променливи. Оператор за доделување. Основни типови на податоци. Влез и излез. Први програми со редоследна структура.
 3.  Претставување на броеви во компјутер, опсег на броеви, повеќе за типови  на податоци и нивни опсези. Конверзија на тип на податоци. Релациски оператори. Споредбени и логички изрази. Структура за избор од 2 можности.
 4. Контролни структури за избор (if – else, Условен оператор ?:, switch)
 5. Контролни структури за повторување
 6. Алгоритамско размислување, правилен алгоритам. Внимателна употреба на break и continue и неупотреба на goto. Сложеност на алгоритми. Временска сложеност.
 7. Функции. Примена на функции. Подрачје на важење на променливите
 8. Низи: еднодимензионални, дводимензионални....
 9. Едноставни алгоритми за работа со низи/ познати алгоритми и решавање проблеми (пребарување, сортирање...)
10. Рекурзија и покажувачи
11. Работа со низи од знаци, стрингови, датотеки",6.0,,проф. д-р Ана Мадевска Богданова ; доц. д-р Бобан Јоксимоски ; проф. д-р Дејан Ѓорѓевиќ ; доц. д-р Емил Станков ; проф. д-р Ѓорѓи Маџаров ; ворн. проф. д-р Христина Михајлоска ; проф. д-р Иван Чорбев ; проф. д-р Ивица Димитровски ; ворн. проф. д-р Катарина Тројачанец Динева ; проф. д-р Миле Јованов ; проф. д-р Невена Ацковска,Yes
Дискретни структури 1,https://www.finki.ukim.mk/subject/F23L2W031,2,True,F23L2W031,"Во овој предмет ќе се изучуваат базични математички концепти за компјутерски науки. Студентите ќе се запознаат со основите на множества, исказна и предикатна логика, техники за докажување и булова алгебра.","Исказна логика и логички закони. Предикатна логика и квантификатори. Изведување на логички заклучоци. Докази и техники за докажување. Множества. Функции и кардиналност., Суми. Деливост. Индукција. Булови алгебри, Булови функции, логички кола и минимизација.",6.0,,ворн. проф. д-р Билјана Тојтовска Рибарски ; проф. д-р Дејан Спасов ; ворн. проф. д-р Наташа Илиевска,Yes
Калкулус 1,https://www.finki.ukim.mk/subject/F23L2W033,2,True,F23L2W033,"Предметот е од подршка и е неопходен за воведување на поимите за функција, лимес и извод кои се неопходни во скоро сите предмети од повисоки години.","Дефиниција на функција. Својства на функции. Oперации со функции. Прави. Фамилии од функции. (2)Инверзни функции. Инверзни тригонометриски функции. Експоненцијални и логаритамски функции и нивни
инверзни функции. Лимеси. Пресметување на лимеси. Непрекинатост. Дефиниција на извод. Техники на диференцирање. Извод од сложена Функција. Апроксимација со тангента и диференцијал.  Лопиталово правило.
Примена на изводи: монотоност на функции, конвексност и конкавност на функции, локални екстреми. Испитување на својства и скицирање на график на функција. Глобални екстреми.",6.0,,ворн. проф. д-р Методија Јанчески ; проф. д-р Весна Димитриевска Ристовска,Yes
Архитектура и организација на компјутери,https://www.finki.ukim.mk/subject/F23L1S003,1,False,F23L1S003,"Разбирање на главните компјутерски архитектури, внатрешната организација, проценка на перформансите на поедините делови и компјутерскиот систем во целинa.","Предавања:
	1. Вовед, Компјутерски апстракции и технологии
	2. Перформанси и benchmarking
	3. Инструкции и операнди, репрезентација на различни типови инструкции, репрезентација на целобројни и знакови операнди
	4. Програмски конструкти во MIPS. Процедури
	5. MIPS адресирање. Преведување и стартување на програми
	6. Компјутерска аритметика: Собирање, одземање, множење и делење. Броеви со подвижна запирка
	7. Процесор. MIPS имплементација. Градење на податочна патека.
	8. Градење на контролна патека. Вовед во проточност и паралелизам
	9. Податочни и структурни проточни конфликти
	10. Контролни проточни конфликти. Прекини и исклучоци
	11. Експлоатација на мемориската хиерархија и Кеш Меморија
	12. Кеш Меморија и TLB

Вежби:
	1. Вовед и бројни системи, SM, RC, DC, Excess Code
	2. Перформанси и benchmarking
	3. Основни МИПС инструкции. Репрезентација на целобројни и знакови операнди
	4. Програмски конструкти во MIPS. Процедури
	5. MIPS адресирање
	6. Компјутерска Аритметика. Броеви со подвижна запирка
	7. Основи на логички дизајн: Вовед, порти, табели на вистинитост, комбинациони кола, вовед во HDL
	8. Аналогија на C код во MIPS Асемблер
	9. MIPS Асемблер
	10. Предвидување на гранење
	11. Кеш Меморија и перформанси
	12. Кеш Меморија и перформанси",6.0,,ворн. проф. д-р Александра Дединец ; проф. д-р Билјана Ристеска Стојкоска ; проф. д-р Дејан Спасов ; проф. д-р Игор Мишковски ; проф. д-р Љупчо Антовски ; ворн. проф. д-р Магдалена Костоска Ѓорчевска ; проф. д-р Марјан Гушев ; ворн. проф. д-р Мирослав Мирчев ; ворн. проф. д-р Сашо Граматиков ; ворн. проф. д-р Владимир Здравески,Yes
Објектно-ориентирано програмирање,https://www.finki.ukim.mk/subject/F23L1S016,1,False,F23L1S016,"Целта на предметот е да го запознае студентот со основните концепти на објектно-ориентираното програмирање. За таа цел ќе бидат воведени концептите на објекти и класи, eнкапсулација, наследување и полиморфизам. Студентите ќе бидат запознаени и со хиерахијата на класи. Ќе се направат споредби на имплементациите на објектно-ориентираните концепти во различни програмски јазици.
По завршување на курсот студентот ќе ги разбира принципите на објектно-ориентираното програмирање и биде оспособен за развој на програми кои ги подржуваат овие принципи.","1. Вовед (курс), вовед во ООП (структури)
	2. Класи и објекти, животен циклус на објект
	3. Класи, објекти и нивоа на пристап
	4. Копирање на објекти, this
	5. Оператори
	6. Наследување
	7. Полиморфизам
	8. Апстрактни класи
	9. Напредни техники на наследување
	10. Исклучоци
	11. Темплејти",6.0,,проф. д-р Ана Мадевска Богданова ; доц. д-р Бобан Јоксимоски ; проф. д-р Дејан Ѓорѓевиќ ; доц. д-р Емил Станков ; проф. д-р Ѓорѓи Маџаров ; ворн. проф. д-р Христина Михајлоска ; проф. д-р Иван Чорбев ; проф. д-р Ивица Димитровски ; ворн. проф. д-р Катарина Тројачанец Динева ; проф. д-р Невена Ацковска,Yes
Дискретни структури 2,https://www.finki.ukim.mk/subject/F23L2S032,2,False,F23L2S032,"Курсот претставува вовед во основните математички концепти неопходни за повисоките курсеви од компјутерски науки. Ќе се изучуваат напредни техники за докажување, индукција рекурзија. Студентите треба да стекнат вештини за решавање на комбинаторни задачи. Да се запознаат со основната терминологија и основите за претставување на графови.","Релации, подредувања. Еквиваленции. Индукција и рекурзија. Броење. Основна комбинаторика. Принцип на гулабови дупки. Напредни комбинаторни техники. Биномна формула. Графови (основни поими, претставување и својства) Изоморфизам, пат планарност. Дрва и нивни својства.  Дрва на пребарување",6.0,,ворн. проф. д-р Билјана Тојтовска Рибарски ; проф. д-р Марија Михова ; ворн. проф. д-р Наташа Илиевска,Yes
Калкулус 2,https://www.finki.ukim.mk/subject/F23L2S034,2,False,F23L2S034,"Предметот е од подршка и е неопходен за воведување на поимите за интеграли, примена на интерграли, низи и редови кои се неопходни во дел од предметите од повисоки години.","Интегрирање: неопределен интеграл, интегрирање со замена. Определен интеграл. Фундаментална теорема во калкулус. Техники на интегрирање: парцијална интеграција, тригонометриски интеграли, тригонометриски смени, интегрирање на дробно-рационални функции. Примена на интеграли за пресметување на: плоштина, волумен, должина на лак на крива, плоштина на ротациона површина. Низи и редови. Диференцијални равенки: решавање на равенки со раздвоиви променливи, линеарни диференцијални равенки од прв ред, хомогени и нехомогени линеарни диференцијални равенки од втор ред.",6.0,,ворн. проф. д-р Александра Поповска Митровиќ ; ворн. проф. д-р Методија Јанчески ; проф. д-р Верица Бакева ; проф. д-р Весна Димитриевска Ристовска ; проф. д-р Весна Димитрова,Yes
Алгоритми и податочни структури,https://www.finki.ukim.mk/subject/F23L2W001,2,True,F23L2W001,"Запознавање со основните податочни структури и алгоритми кои се понатаму неопходни за работа со бази на
податоци како и за други апликации. Студентот ќе биде оспособен за користење и развој на структури и алгоритми
со линеарни листи, стебла, графови како и и индекси за пребарување. Исто така ќе биде оспособен за
имплемнтација на различните архетипи на алгоритми што се користат во практичната имплементација на многу
софтверски решенија.","Предавања:
	1. Вовед во податочни структури
	2. Анализа на алгоритми и сложеност на алгоритми
	3. Репрезентација на податоци со фундаментални податочни структури (низи и листи)
	4. Вовед во алгоритми и техники за креирање алгоритми
	5. Еднодимензионални податочни структури (магацин, редица)
	6. Алгоритми за сортирање
	7. Хеш структури
	8. Хиерархиски структури - дрва
	9. Графови

Вежби:
	1. Вовед во податочни структури
	2. Анализа на алгоритми и сложеност на алгоритми
	3. Репрезентација на податоци со фундаментални податочни структури (низи и листи)
	4. Вовед во алгоритми и техники за креирање алгоритми
	5. Еднодимензионални податочни структури (магацин, редица)
	6. Алгоритми за сортирање
	7. Хеш структури
	8. Хиерархиски структури - дрва
	9. Графови",6.0,Структурно програмирање,проф. д-р Ана Мадевска Богданова ; ворн. проф. д-р Бојана Котеска ; ворн. проф. д-р Ефтим Здравевски ; ворн. проф. д-р Христина Михајлоска ; доц. д-р Илинка Иваноска ; проф. д-р Слободан Калајџиски ; проф. д-р Владимир Трајковиќ,Yes
Веројатност и статистика,https://www.finki.ukim.mk/subject/F23L2W006,2,True,F23L2W006,Да се воведат основните концепти од веројатност и статистичка анализа со дискусија на примените во компјутерските науки. Да се оспособат студентите за успешно следење на стручните предмети во кои се применуваат елементи од теорија на веројатност и статистика.,"Елементи од комбинаторика. Веројатност на случајни настани. Својства на веројатности. Дискретен простор на веројатност. Класична дефиниција. Условна веројатност. Баесово правило. Независност на случајни настани.  Бернулиева шема. Дискретни и непрекинати распределби. Случајни вектори: маргинални и условни распределби. Функции од случајни променливи. Бројни карактеристики на случајни променливи: математичко очекување, дисперзија на случајна променлива, коефициент на корелација помеѓу две случајни променливи.
Закон на големите броеви. Централна гранична терорема. Елементи од статистика: популација и примерок, параметри и статистики.  Основна обработка на податоци и дескриптивни статистики. Математички модел на случаен примерок. Распределби на статистики на примерок: нормална, t-распределба, Хи квадрат и F-распределба. Оценување на параметри на обележјето: метод на моменти, метод на       максимална подобност, интервали на доверба. Параметарски тестови. Непараметарски тестови. Линеарна регресија, оценување со метод       на најмали квадрати.",6.0,Калкулус 1 или Математика 1,ворн. проф. д-р Александра Поповска Митровиќ ; ворн. проф. д-р Билјана Тојтовска Рибарски ; ворн. проф. д-р Наташа Илиевска ; проф. д-р Верица Бакева,Yes
Компјутерски мрежи и безбедност,https://www.finki.ukim.mk/subject/F23L2W014,2,True,F23L2W014,"Вовед во основните концепти на компјутерските мрежи и безбедноста. Студентот ќе се здобие со знаења поврзани со мрежната архитектура, мрежните протоколи и работата на мрежите, како и главните поими од мрежната безбедност. Студентот ќе се запознае со главните компоненти и апликации на TCP/IP свитата од протоколи.","Предавања:
	1. Вовед
	2. Преглед на ISO/OSI моделот
	3. Апликациски слој и HTTP
	4. Апликациски слој други протоколи
	5. Транспортен слој прв дел
	6. Транспортен слој втор дел
	7. Мрежен слој податочна рамнина
	8. Мрежен слој контролна рамнина
	9. Податочен слој
	10. Податочен слој Ethernet
	11. Мрежна безбедност прв дел
	12. Мрежна безбедност втор дел

Вежби:
	1. запознавање
	2. слоевитост и енкапсулација
	3. пренос на информација низ мрежа
	4. апликациски слој примери
	5. транспортен слој примери
	6. мрежен слој податочна рамнина примери 1
	7. мрежен слој податочна рамнина примери 2
	8. мрежен слој контролна рамнина примери 1
	9. мрежен слој контролна рамнина примери 2
	10. податочен слој примери 1
	11. податочен слој примери 2
	12. безбедност примери",6.0,Освоени најмалку 18 ЕКТС,ворн. проф. д-р Александра Дединец ; проф. д-р Анастас Мишев ; проф. д-р Дејан Спасов ; проф. д-р Игор Мишковски ; ворн. проф. д-р Мирослав Мирчев ; ворн. проф. д-р Сашо Граматиков ; проф. д-р Соња Филипоска,Yes
Оперативни системи,https://www.finki.ukim.mk/subject/F23L2S017,2,False,F23L2S017,Студентот ќе биде воведен во основните градбени блокови на модерните оперативни системи преку нивна конкретна реализација во Windows и UNIX-like системите.,"Предавања:
	1. Вовед. Процеси
	2. Процеси
	3. Распоредување на процеси
	4. Меѓупроцесна комуникација
	5. Меѓупроцесна комуникација и Deadlock
	6. Управување со меморија. Виртуелна меморија.
	7. Алгоритми за замена на страници кај виртуелна меморија
	8. Датотечни системи
	9. Имплементација на датотечни системи
	10. Партиционирање и надежност на датотечни системи (RAID)
	11. Влезно-излезни уреди и SSD дискови

Вежби:
	1. Основи на UNIX & команди за процеси
	2. Креирање на процеси (fork & exec)
	3. Задачи за распоредување (FCFS, SRTN, RR, etc.)
	4. Java нитки и паралелизам
	5. Синхронизација: услови на трка и примери
	6. Банкаров алгоритам и Управување со меморија задачи
	7. Управување со меморија задачи и Unix работа со датотеки
	8. UNIX: Пренасочување, филтрирање и регуларни изрази
	9. Unix: работа со датотечен систем
	10. Командни процедури во UNIX (дел 1)
	11. Командни процедури во UNIX (дел 2)",6.0,Архитектура и организација на компјутери или Компјутерски архитектури,проф. д-р Боро Јакимовски ; проф. д-р Димитар Трајанов ; проф. д-р Игор Мишковски ; ворн. проф. д-р Милош Јовановиќ ; проф. д-р Невена Ацковска ; ворн. проф. д-р Ристе Стојанов ; ворн. проф. д-р Сашо Граматиков ; проф. д-р Весна Димитрова,Yes
